period,state,consumption_million_kwh,consumption_billion_kwh
2024-01,ME,471.88414,0.47188414
2024-02,ME,474.91138,0.47491138
2024-03,ME,435.48538,0.43548538000000003
2024-04,ME,431.45906,0.43145906
2024-05,ME,390.34411,0.39034411
2024-06,ME,356.9573,0.3569573
2024-07,ME,411.88535,0.41188535000000004
2024-08,ME,435.02596,0.43502596
2024-09,ME,386.45241,0.38645240999999997
2024-10,ME,341.6285,0.3416285
2024-11,ME,366.40955,0.36640955000000003
2024-12,ME,399.04885,0.39904885
2024-01,NH,457.53975,0.45753975
2024-02,NH,425.09955,0.42509955000000005
2024-03,NH,389.74424,0.38974423999999996
2024-04,NH,349.14296,0.34914296
2024-05,NH,326.01665,0.32601665
2024-06,NH,393.60009,0.39360009
2024-07,NH,552.69516,0.55269516
2024-08,NH,475.47853,0.47547852999999995
2024-09,NH,341.39708,0.34139708
2024-10,NH,324.85791,0.32485791
2024-11,NH,348.43215,0.34843215
2024-12,NH,463.43892,0.46343892
2024-01,VT,231.38262,0.23138262
2024-02,VT,204.07791,0.20407791
2024-03,VT,189.70347,0.18970347
2024-04,VT,163.31488,0.16331488
2024-05,VT,152.25322,0.15225322
2024-06,VT,174.23538,0.17423538
2024-07,VT,217.31904,0.21731904
2024-08,VT,194.72834,0.19472834
2024-09,VT,160.45542,0.16045542000000002
2024-10,VT,158.18322,0.15818322
2024-11,VT,157.16169,0.15716169
2024-12,VT,227.33982,0.22733982
2024-01,MA,1881.84313,1.88184313
2024-02,MA,1751.57077,1.75157077
2024-03,MA,1660.66012,1.66066012
2024-04,MA,1466.68386,1.46668386
2024-05,MA,1438.7468,1.4387467999999999
2024-06,MA,1620.25323,1.62025323
2024-07,MA,2051.41355,2.0514135500000004
2024-08,MA,1879.55037,1.87955037
2024-09,MA,1579.69615,1.57969615
2024-10,MA,1453.16518,1.45316518
2024-11,MA,1456.03797,1.4560379700000001
2024-12,MA,1753.01386,1.75301386
2024-01,RI,287.92531,0.28792531000000005
2024-02,RI,246.72045,0.24672045
2024-03,RI,229.6819,0.22968190000000002
2024-04,RI,210.00388,0.21000388
2024-05,RI,207.9311,0.20793109999999998
2024-06,RI,241.29404,0.24129404
2024-07,RI,379.8115,0.3798115
2024-08,RI,373.71154,0.37371154
2024-09,RI,247.20029,0.24720029
2024-10,RI,235.22439,0.23522439
2024-11,RI,207.702,0.207702
2024-12,RI,244.1256,0.2441256
2024-01,CT,1274.14156,1.2741415600000001
2024-02,CT,1051.80176,1.05180176
2024-03,CT,981.32315,0.98132315
2024-04,CT,876.01541,0.8760154099999999
2024-05,CT,879.65058,0.87965058
2024-06,CT,1169.81084,1.16981084
2024-07,CT,1504.28521,1.50428521
2024-08,CT,1318.04942,1.3180494200000001
2024-09,CT,885.14973,0.88514973
2024-10,CT,828.57201,0.82857201
2024-11,CT,902.2263,0.9022263
2024-12,CT,1270.87704,1.27087704
2024-01,NY,4417.08846,4.4170884599999996
2024-02,NY,4175.36211,4.17536211
2024-03,NY,3757.87376,3.75787376
2024-04,NY,3494.45159,3.49445159
2024-05,NY,3351.29737,3.3512973699999997
2024-06,NY,4388.93585,4.38893585
2024-07,NY,6010.18265,6.01018265
2024-08,NY,5656.93149,5.65693149
2024-09,NY,4341.08998,4.34108998
2024-10,NY,3435.33581,3.43533581
2024-11,NY,3407.58488,3.40758488
2024-12,NY,4421.23906,4.4212390599999996
2024-01,NJ,2553.55427,2.5535542700000002
2024-02,NJ,2139.75218,2.13975218
2024-03,NJ,1817.24756,1.81724756
2024-04,NJ,1830.13836,1.8301383599999999
2024-05,NJ,2134.24909,2.13424909
2024-06,NJ,3334.86232,3.33486232
2024-07,NJ,4267.46045,4.26746045
2024-08,NJ,3575.34482,3.5753448199999998
2024-09,NJ,2014.69884,2.01469884
2024-10,NJ,1820.14223,1.8201422299999999
2024-11,NJ,1862.13117,1.86213117
2024-12,NJ,2343.38073,2.34338073
2024-01,PA,5674.76722,5.67476722
2024-02,PA,4682.26337,4.682263369999999
2024-03,PA,4356.48259,4.35648259
2024-04,PA,3735.15007,3.73515007
2024-05,PA,3594.17411,3.59417411
2024-06,PA,4592.05552,4.59205552
2024-07,PA,5980.9187,5.9809187
2024-08,PA,5287.20407,5.28720407
2024-09,PA,3918.81573,3.91881573
2024-10,PA,3402.82976,3.40282976
2024-11,PA,3752.5571,3.7525571
2024-12,PA,5295.33976,5.29533976
2024-01,DE,486.60544,0.48660544
2024-02,DE,463.97675,0.46397675
2024-03,DE,444.2675,0.4442675
2024-04,DE,340.76052,0.34076052
2024-05,DE,325.37935,0.32537935
2024-06,DE,446.44807,0.44644807
2024-07,DE,596.58143,0.59658143
2024-08,DE,547.36291,0.54736291
2024-09,DE,425.88131,0.42588130999999996
2024-10,DE,299.47318,0.29947318
2024-11,DE,304.87097,0.30487097
2024-12,DE,492.90658,0.49290658000000004
2024-01,MD,2874.66534,2.87466534
2024-02,MD,2380.15142,2.3801514200000002
2024-03,MD,2066.31754,2.06631754
2024-04,MD,1718.73142,1.7187314200000001
2024-05,MD,1849.86296,1.8498629599999998
2024-06,MD,2478.24563,2.47824563
2024-07,MD,3089.60246,3.08960246
2024-08,MD,2685.2678,2.6852678
2024-09,MD,1917.3781,1.9173780999999999
2024-10,MD,1631.73306,1.63173306
2024-11,MD,1849.85785,1.84985785
2024-12,MD,2785.54243,2.78554243
2024-01,VA,5012.44629,5.01244629
2024-02,VA,3980.97899,3.98097899
2024-03,VA,3344.29761,3.34429761
2024-04,VA,2749.9494,2.7499493999999998
2024-05,VA,3074.3301,3.0743301
2024-06,VA,4205.07463,4.20507463
2024-07,VA,4816.59752,4.81659752
2024-08,VA,4406.3314,4.4063314
2024-09,VA,3197.93309,3.19793309
2024-10,VA,2809.60025,2.80960025
2024-11,VA,3060.92565,3.06092565
2024-12,VA,4614.36007,4.61436007
2024-01,NC,6644.36076,6.64436076
2024-02,NC,4992.83311,4.992833109999999
2024-03,NC,4048.90913,4.04890913
2024-04,NC,3819.61702,3.81961702
2024-05,NC,4538.77383,4.53877383
2024-06,NC,5911.1282,5.9111282
2024-07,NC,6757.20073,6.757200729999999
2024-08,NC,6259.68243,6.25968243
2024-09,NC,4820.90441,4.82090441
2024-10,NC,3999.22578,3.99922578
2024-11,NC,4120.19062,4.120190620000001
2024-12,NC,5832.11596,5.83211596
2024-01,SC,3294.20294,3.29420294
2024-02,SC,2490.6741,2.4906741
2024-03,SC,2026.46813,2.02646813
2024-04,SC,1962.91132,1.96291132
2024-05,SC,2453.33251,2.45333251
2024-06,SC,3259.37789,3.25937789
2024-07,SC,3803.6915,3.8036915
2024-08,SC,3448.60385,3.44860385
2024-09,SC,2722.67234,2.72267234
2024-10,SC,2163.6482,2.1636482
2024-11,SC,1992.55753,1.99255753
2024-12,SC,2926.67571,2.92667571
2024-01,GA,6156.98238,6.1569823800000005
2024-02,GA,4719.55451,4.71955451
2024-03,GA,3914.29521,3.91429521
2024-04,GA,3807.45351,3.8074535099999998
2024-05,GA,4625.63666,4.6256366600000005
2024-06,GA,6289.11808,6.289118080000001
2024-07,GA,6912.94763,6.91294763
2024-08,GA,6854.78421,6.85478421
2024-09,GA,5174.21091,5.17421091
2024-10,GA,4304.23458,4.30423458
2024-11,GA,3960.49017,3.96049017
2024-12,GA,5343.24514,5.34324514
2024-01,FL,10198.39104,10.19839104
2024-02,FL,8954.70849,8.954708490000002
2024-03,FL,9034.58578,9.034585779999999
2024-04,FL,9218.29365,9.21829365
2024-05,FL,12265.05254,12.265052540000001
2024-06,FL,13861.43618,13.86143618
2024-07,FL,15303.29494,15.303294939999999
2024-08,FL,15073.89687,15.07389687
2024-09,FL,13738.97127,13.73897127
2024-10,FL,11520.09567,11.52009567
2024-11,FL,9753.14006,9.75314006
2024-12,FL,9448.85354,9.44885354
